,0
1004,APECO1_RS11185
1005,APECO1_RS05095
1006,ygiN
1007,APECO1_RS14500
1008,APECO1_RS04075
1009,APECO1_RS03705
1010,APECO1_RS18360
1011,APECO1_RS09080
1012,APECO1_RS12925
1013,APECO1_RS12885
1014,APECO1_RS03615
1015,APECO1_RS11940
1016,APECO1_RS20345
1017,APECO1_RS18590
1018,APECO1_RS22340
1019,APECO1_RS23450
1020,APECO1_RS12340
1021,APECO1_RS08190
1022,APECO1_RS13780
1023,APECO1_RS14275
1024,APECO1_RS09245
1025,APECO1_RS15625
1026,APECO1_RS15630
1027,APECO1_RS08920
1028,APECO1_RS18090
1029,APECO1_RS02110
1030,APECO1_RS22545
1031,APECO1_RS22550
1032,APECO1_RS18330
1033,APECO1_RS16515
1034,APECO1_RS21400
1035,APECO1_RS22760
1036,APECO1_RS00345
1037,APECO1_RS22980
1038,APECO1_RS08790
1039,APECO1_RS16565
1040,APECO1_RS00335
1041,APECO1_RS10185
1042,yiaS
1043,APECO1_RS00945
1044,APECO1_RS03710
1045,APECO1_RS00465
1046,APECO1_RS21560
1047,APECO1_RS19380
1048,APECO1_RS24395
1049,APECO1_RS21555
1050,APECO1_RS15300
1051,APECO1_RS21390
1052,APECO1_RS25630
1053,APECO1_RS00955
1054,APECO1_RS03645
1055,APECO1_RS21395
1056,APECO1_RS18395
1057,APECO1_RS21380
1058,APECO1_RS00490
1059,APECO1_RS21385
1060,APECO1_RS20670
1061,APECO1_RS00480
1062,APECO1_RS22275
1063,APECO1_RS00495
1064,APECO1_RS22265
1065,APECO1_RS15315
1066,APECO1_RS22670
1067,APECO1_RS03355
1068,APECO1_RS12465
1069,APECO1_RS17795
1070,APECO1_RS12470
1071,APECO1_RS02125
1072,APECO1_RS04085
1073,APECO1_RS15240
1074,APECO1_RS00920
1075,APECO1_RS15235
1076,APECO1_RS10210
1077,APECO1_RS03665
1078,ccmD
1079,APECO1_RS12280
1080,APECO1_RS11275
1081,APECO1_RS12285
1082,APECO1_RS24615
1083,APECO1_RS12570
1084,APECO1_RS24610
1085,APECO1_RS12270
1086,APECO1_RS12560
1087,APECO1_RS12290
1088,APECO1_RS19385
1089,APECO1_RS03660
1090,APECO1_RS16520
1091,APECO1_RS09200
1092,APECO1_RS09195
1093,APECO1_RS02570
1094,APECO1_RS08150
1095,APECO1_RS03100
1096,APECO1_RS00470
1097,APECO1_RS02775
1098,APECO1_RS00520
1099,APECO1_RS17365
1100,APECO1_RS09030
1101,arnE
1102,APECO1_RS09025
1103,APECO1_RS09015
1104,APECO1_RS21280
1105,APECO1_RS12590
1106,APECO1_RS21265
1107,APECO1_RS09020
1108,APECO1_RS24590
1109,APECO1_RS09035
1110,APECO1_RS21270
1111,APECO1_RS21275
1112,APECO1_RS09040
1113,APECO1_RS00905
1114,APECO1_1745
1115,APECO1_RS12575
1116,APECO1_RS09355
1117,APECO1_RS21750
1118,APECO1_RS12565
1119,APECO1_RS11365
1120,APECO1_RS15655
1121,APECO1_RS21645
1122,APECO1_RS15650
1123,APECO1_RS19520
1124,APECO1_RS21650
1125,APECO1_RS15400
1126,APECO1_RS15385
1127,APECO1_RS15390
1128,APECO1_RS22680
1129,APECO1_RS15395
1130,APECO1_RS22795
1131,APECO1_RS13830
1132,APECO1_RS18750
1133,APECO1_RS13910
1134,APECO1_RS05110
1135,APECO1_RS20565
1136,APECO1_RS05115
1137,APECO1_RS09445
1138,APECO1_RS07800
1139,APECO1_RS13905
1140,APECO1_RS04240
1141,APECO1_RS12620
1142,APECO1_97
1143,APECO1_RS02850
1144,APECO1_RS24560
1145,APECO1_RS02625
1146,APECO1_RS20645
1147,APECO1_RS02665
1148,APECO1_RS24715
1149,APECO1_RS13930
1150,APECO1_RS13345
1151,APECO1_RS15265
1152,APECO1_RS18045
1153,APECO1_RS15270
1154,APECO1_RS09700
1155,APECO1_RS20475
1156,APECO1_RS24390
1157,APECO1_RS16365
1158,APECO1_RS04385
1159,APECO1_RS20440
1160,APECO1_RS20520
1161,APECO1_2872
1162,APECO1_RS15860
1163,APECO1_RS18065
1164,yiaM
1165,APECO1_RS20450
1166,APECO1_RS17945
1167,APECO1_RS20445
